Model,Macro_AUPRC,Macro_F1,Macro_AUROC,Exact_Match_Acc,Loss,PhysioNet_Score
cnn,0.8094317757870367,0.7237426971490868,0.9269450877573273,0.6270642201834863,0.2683479700769697,0.7186238532110086
cnn,0.8054363068571317,0.7244628893270972,0.9271233756369395,0.6321100917431193,0.2731019914150238,0.7227522935779811
cnn,0.8073755204822486,0.7268667026195763,0.9242067046980565,0.6426605504587156,0.28144347710268836,0.727477064220183
cnn,0.8005131114248902,0.7272780568288473,0.9199426035269997,0.6233944954128441,0.29167310893535614,0.729082568807339
